#	Sequence_name	block_2_18_60987833_60988552_patient_5::18:60987807-60988576
change	rank	file_name	score_pca	mean_ddba
Positive	1	ZBTB14_2_from_ZF5_transfac_M00716.mlp	0.794650570872144	0.22315637529166665
Positive	2	IRX5_2_from_IRX5_jolma_DBD_M563.mlp	0.42231949764109106	0.13796273506
Positive	3	IRX2_2_from_IRX2_jolma_DBD_M562.mlp	0.3007066609848284	0.11635783342833333
Positive	4	STAT_known14_from_STAT6_2_from_STAT6_transfac_M00500.mlp	0.17155231684568004	0.03289258632333336
Positive	5	MYF6_1_from_Myf6_bulyk_sc09-primary.mlp	0.04083871353590349	0.026476345784999997
Positive	6	CLOCK_1_from_CLOCK_jolma_DBD_M316.mlp	0.03573910112690301	0.015195610455
Positive	7	MYC_known4_from_USF_2_from_USF_transfac_M00122.mlp	0.02845770585894389	0.015067220398333338
Positive	8	STAT_known10_from_STAT1_3_from_STAT1_transfac_M00496.mlp	0.025361311870795388	0.004106273473333311
Positive	9	ZBTB14_1_from_ZF5_transfac_M00333.mlp	0.02322476908742381	0.01612257333333333
Positive	10	NKX3-1_4_from_Nkx3-1_bulyk_cell08-2923.2.mlp	0.022590088338221504	0.015401409281666669
Negative	1	ZNF354C_1_from_ZNF354C_jaspar_MA0130.1.mlp	-0.9043411784343772	-0.26307266584166666
Negative	2	HLTF_1_from_Hltf_jaspar_MA0109.1.mlp	-0.6431792835420087	-0.16099863191666666
Negative	3	ZEB1_known5_from_ZEB1_5_from_ZEB1_jaspar_MA0103.1.mlp	-0.6379443244962375	-0.15976774107666666
Negative	4	HNF4_known8_from_HNF4_5_from_HNF4,-COUP_transfac_M00967.mlp	-0.5186984528347164	-0.13143553839333336
Negative	5	FOXO3_3_from_FOXO3_jaspar_MA0157.1.mlp	-0.3130153526470944	-0.088979523535
Negative	6	MYC_known10_from_USF2_1_from_USF2_transfac_M00726.mlp	-0.27756599906459467	-0.05742746848166665
Negative	7	FOXJ3_2_from_FOXJ3_jolma_DBD_M419.mlp	-0.25299512574670696	-0.061207965569999995
Negative	8	STAT_known13_from_STAT5A_4_from_STAT5A_transfac_M00499.mlp	-0.15161880278316822	-0.02903753730166667
Negative	9	FOXO1_1_from_FOXO1_transfac_M00473.mlp	-0.1419886120903443	-0.03728798970166666
Negative	10	FOXO1_3_from_FOXO1_jolma_DBD_M425.mlp	-0.12306451848184993	-0.03172507872666667
