#	Sequence_name	block_2_18_60987833_60988552_patient_9::18:60987807-60988576
change	rank	file_name	score_pca	mean_ddba
Positive	1	GATA_known8_from_GATA1_5_from_GATA-1_transfac_M00346.mlp	0.5144274160670399	0.16087475378333335
Positive	2	GCM_1_from_GCM_transfac_M00634.mlp	0.4482958700135434	0.12716600959833332
Positive	3	SOX10_2_from_SOX10_jaspar_MA0442.1.mlp	0.39016611473678137	0.17448420687
Positive	4	SOX17_2_from_Sox17_jaspar_MA0078.1.mlp	0.22427457515207702	0.07194271789833333
Positive	5	SP1_known9_from_SP3_2_from_SP3_jolma_DBD_M30.mlp	0.20714730349623744	0.05236438136666666
Positive	6	AP1_known1_from_AP1_2_from_AP-1_transfac_M00172.mlp	0.1964415629371242	0.055044239668333335
Positive	7	TBX21_3_from_TBX21_jolma_DBD_M275.mlp	0.17505986251773184	0.039997285014
Positive	8	KLF16_1_from_KLF16_jolma_DBD_M23.mlp	0.17143953588196253	0.04170749286666666
Positive	9	CACD_2_from_CACD_transfac_M01113.mlp	0.14556430863124795	0.030838
Positive	10	ZNF354C_1_from_ZNF354C_jaspar_MA0130.1.mlp	0.09776514102095407	0.03375985615666668
Negative	1	FOXD3_3_from_FOXD3_jolma_DBD_M410.mlp	-0.4519014870863029	-0.12866037167166666
Negative	2	FOXC2_1_from_FOXC2_jolma_DBD_M405.mlp	-0.43503398793633413	-0.1182861719065
Negative	3	FOXC1_4_from_FOXC1_jolma_DBD_M403.mlp	-0.3845565160507332	-0.1007673279
Negative	4	FOXD2_1_from_FOXD2_jolma_DBD_M408.mlp	-0.3581097740856453	-0.09459816971666668
Negative	5	ONECUT1_1_from_HNF6_transfac_M00639.mlp	-0.32115698115968655	-0.08264170438333333
Negative	6	NR2E1_3_from_Nr2e1_jolma_DBD_M689.mlp	-0.20052051465822893	-0.05251999752333333
Negative	7	NR2E1_1_from_NR2E1_jolma_full_M676.mlp	-0.17665902365472344	-0.04546699792666667
Negative	8	FOXB1_2_from_FOXB1_jolma_DBD_M399.mlp	-0.14762909493094475	-0.033072497178333334
Negative	9	IRX5_2_from_IRX5_jolma_DBD_M563.mlp	-0.09066107712523301	-0.02279076990666667
Negative	10	GATA_known7_from_GATA_1_from_GATA-X_transfac_M00203.mlp	-0.08800495249688228	-0.024004426228333334
