#	Sequence_name	block_2_18_60987833_60988552_patient_2::18:60987807-60988576
change	rank	file_name	score_pca	mean_ddba
Positive	1	WT1_1_from_WT1_transfac_M01118.mlp	1.278689476286747	0.5584976713
Positive	2	SP1_known7_from_SP1_6_from_SP1_jaspar_MA0079.2.mlp	1.0677961063932215	0.4095384613333333
Positive	3	SP1_known6_from_SP1_5_from_Sp1_transfac_M00933.mlp	0.8771827249016255	0.30629766825000004
Positive	4	OVOL2_1_from_MOVO-B_transfac_M01104.mlp	0.8567151364943465	0.3033914639533334
Positive	5	TEAD2_1_from_ETF_transfac_M00695.mlp	0.7621396610198593	0.25055747921666666
Positive	6	ZNF281_1_from_Zfp281_bulyk_sc09-primary.mlp	0.7005654631974342	0.38350088808333344
Positive	7	SP1_known4_from_SP1_3_from_Sp1_transfac_M00931.mlp	0.5839997067660678	0.19375882423333335
Positive	8	ZNF740_2_from_ZNF740_jolma_DBD_M50.mlp	0.49305062413358397	0.17626916304999998
Positive	9	KLF12_1_from_AP-2rep_transfac_M00468.mlp	0.4837990435591516	0.13764604927500002
Positive	10	ZNF740_1_from_Zfp740_bulyk_sc09-primary.mlp	0.4179160006199007	0.16091468023333336
Negative	1	FOXO6_2_from_FOXO6_jolma_DBD_M435.mlp	-0.73096902728376	-0.22738492038333327
Negative	2	FOXI1_3_from_FOXI1_jolma_full_M414.mlp	-0.6293173181763669	-0.18740049919000004
Negative	3	FOXP3_2_from_FOXP3_jolma_DBD_M437.mlp	-0.6196244375949085	-0.18565178893499998
Negative	4	FOXO4_4_from_FOXO4_jolma_DBD_M432.mlp	-0.5914812627755772	-0.17311968246166667
Negative	5	FOXG1_5_from_Foxg1_jolma_DBD_M442.mlp	-0.5779495011656662	-0.1680715628666666
Negative	6	FOXL1_4_from_FOXL1_jolma_full_M423.mlp	-0.4739698243354562	-0.13111247536666668
Negative	7	FOXK1_4_from_Foxk1_jolma_DBD_M448.mlp	-0.4602748669570534	-0.12685395407166666
Negative	8	FOXD2_2_from_FOXD2_jolma_DBD_M409.mlp	-0.39532520430390794	-0.10494103128666665
Negative	9	FOXA_known5_from_FOXA1_2_from_FOXA1_jaspar_MA0148.1.mlp	-0.3764515218787806	-0.11647615272166666
Negative	10	TFAP2_known1_from_TFAP2_1_from_AP-2_transfac_M00189.mlp	-0.36058984922308757	-0.1120331733333333
