#	Sequence_name	block_1_18_60984827_60987028_patient_5::18:60984801-60987052
change	rank	file_name	score_pca	mean_ddba
Positive	1	CDX1_2_from_CDX1_jolma_DBD_M471.mlp	0.31043751394877944	0.080199469095
Positive	2	PAX2_2_from_Pax-2_transfac_M00486.mlp	0.18516463203503478	0.03720874157166667
Positive	3	STAT_known13_from_STAT5A_4_from_STAT5A_transfac_M00499.mlp	0.15136173207785225	0.029636940469999873
Positive	4	SOX8_1_from_Sox8_bulyk_sc09-primary.mlp	0.1485853246049116	0.06942703843333332
Positive	5	HOXA4_1_from_HOXA4_transfac_M00640.mlp	0.1484708806290721	0.032307764166666676
Positive	6	POU3F3_4_from_POU3F3_jolma_DBD_M219.mlp	0.12699304437300735	0.0354520399
Positive	7	SRY_2_from_SRY_transfac_M00160.mlp	0.11563869698237712	0.03358346334
Positive	8	E2F_known15_from_E2F1_13_from_E2F_transfac_M00803.mlp	0.10090390143397865	0.019594066200000024
Positive	9	HOXD11_3_from_HOXD11_jolma_DBD_M545.mlp	0.090204152392852	0.02151202812666667
Positive	10	CDX2_3_from_CDX2_jolma_DBD_M472.mlp	0.07137358108867702	0.017765255275000006
Negative	1	NKX3-1_2_from_NKX3-1_jaspar_MA0124.1.mlp	-0.9247432924815313	-0.2995484342833333
Negative	2	ETS_known8_from_ETS1_3_from_ETS1_jaspar_MA0098.1.mlp	-0.5796417308456031	-0.1437807027516667
Negative	3	STAT_known11_from_STAT3_2_from_STAT3_transfac_M00497.mlp	-0.31200034118191855	-0.06652253182000002
Negative	4	IKZF1_2_from_Lyf-1_transfac_M00141.mlp	-0.2865796868719179	-0.08425685968333335
Negative	5	STAT_known14_from_STAT6_2_from_STAT6_transfac_M00500.mlp	-0.1861864391134006	-0.037719185941666594
Negative	6	EBF1_known3_from_EBF1_3_from_EBF1_jaspar_MA0154.1.mlp	-0.08445503554859696	-0.045262166666666666
Negative	7	IKZF2_1_from_Ik-2_transfac_M00087.mlp	-0.06945058934711981	-0.01685259365666666
Negative	8	ZEB1_known5_from_ZEB1_5_from_ZEB1_jaspar_MA0103.1.mlp	-0.06334935980625979	-0.012026842589999998
Negative	9	MEF2B_1_from_MEF2B_jolma_full_M157.mlp	-0.043888638152610654	-0.023020129646666665
Negative	10	XBP1_2_from_HTF_transfac_M00538.mlp	-0.04188127026861147	-0.022062623231666672
