#	Sequence_name	AC012123.1;+;up1000;down1000;+rnd780::18:30349783-30350394
change	rank	file_name	score_mean_ddba	mean_ddba
Positive	1	TBX5_2_from_TBX5_transfac_M01020.mlp	0.04176774981333333	0.04176774981333333
Positive	2	TFAP2_known1_from_TFAP2_1_from_AP-2_transfac_M00189.mlp	0.00120373516666666	0.00120373516666666
Positive	3	ELF5_1_from_ELF5_jaspar_MA0136.1.mlp	0.000388260121666667	0.000388260121666667
Positive	4	NFATC2_1_from_NFATC2_jaspar_MA0152.1.mlp	0.00020038965333333538	0.00020038965333333538
Positive	5	IRX6_1_from_Irx6_bulyk_cell08-2623.2.mlp	3.317953833333332e-05	3.317953833333332e-05
Negative	1	TEAD2_1_from_ETF_transfac_M00695.mlp	-0.09137945811666666	-0.09137945811666666
Negative	2	FOXO4_1_from_FOXO4_transfac_M00472.mlp	-0.023670978051666666	-0.023670978051666666
Negative	3	FOXO1_1_from_FOXO1_transfac_M00473.mlp	-0.017049881453333332	-0.017049881453333332
Negative	4	FOXO1_3_from_FOXO1_jolma_DBD_M425.mlp	-0.014281791471666666	-0.014281791471666666
Negative	5	SPI1_known2_from_SPI1_2_from_SPI1_jaspar_MA0080.2.mlp	-0.004432887646666668	-0.004432887646666668
Negative	6	SP1_known8_from_SP1_7_from_SP1_jolma_DBD_M29.mlp	-0.004322807783333343	-0.004322807783333343
Negative	7	ZNF354C_1_from_ZNF354C_jaspar_MA0130.1.mlp	-0.0038295136050000168	-0.0038295136050000168
Negative	8	ETS_2_from_Ets_transfac_M00971.mlp	-0.003690127486666669	-0.003690127486666669
Negative	9	SP1_known7_from_SP1_6_from_SP1_jaspar_MA0079.2.mlp	-0.0024579085000000045	-0.0024579085000000045
Negative	10	CACBP_1_from_CAC-binding-protein_transfac_M00720.mlp	-0.0017273319833333344	-0.0017273319833333344
Negative	11	STAT_known13_from_STAT5A_4_from_STAT5A_transfac_M00499.mlp	-0.0016295341155000127	-0.0016295341155000127
Negative	12	SP1_known6_from_SP1_5_from_Sp1_transfac_M00933.mlp	-0.0012119315666666716	-0.0012119315666666716
Negative	13	KLF16_1_from_KLF16_jolma_DBD_M23.mlp	-0.0009912129666666697	-0.0009912129666666697
Negative	14	FOXO6_2_from_FOXO6_jolma_DBD_M435.mlp	-0.0008822052957500001	-0.0008822052957500001
Negative	15	FOXL1_4_from_FOXL1_jolma_full_M423.mlp	-0.0007430075501666665	-0.0007430075501666665
